time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol,ema,signal
1719388800,9866179.25,9888888.0,9834557.0,9887458.0,29.78,293377329.07,force_direct,,9853814.0,FLAT
1719392400,9846748.25,9876818.625,9830200.0,9876818.625,17.33,170598705.66,force_direct,,9853670.427860696,DOWN
1719396000,9830919.5,9861783.4375,9805988.0,9861783.4375,24.0,235703217.97,force_direct,,9853476.274349645,DOWN
1719399600,9853172.25,9878809.0,9834158.0,9846351.46875,20.01,197205384.05,force_direct,,9853596.550226763,UP
1719403200,9867368.75,9885602.0,9849761.859375,9849761.859375,21.14,208536211.72,force_direct,,9853741.43032401,UP
1719406800,9894542.25,9933333.0,9851225.0,9858565.3046875,53.41,528431034.52,force_direct,,9854454.988231234,UP
1719410400,9929837.75,9959908.0,9876553.77734375,9876553.77734375,47.73,474363123.82,force_direct,,9855246.371432913,UP
1719414000,9904672.5,9935972.0,9853900.0,9903195.763671875,36.86,364025883.85,force_direct,,9855640.228433581,UP
1719417600,9879413.0,9909014.0,9850000.0,9903934.131835938,22.14,218835450.96,force_direct,,9855721.5097427,UP
1719421200,9842760.5,9891673.565917969,9792170.0,9891673.565917969,54.96,539655355.47,force_direct,,9855653.305665657,DOWN
1719424800,9825935.5,9867217.032958984,9800242.0,9867217.032958984,16.91,166160531.75,force_direct,,9855145.640932666,DOWN
1719428400,9814234.25,9846576.266479492,9780000.0,9846576.266479492,25.15,246578441.89,force_direct,,9854856.00271443,DOWN
1719432000,9819441.0,9845146.0,9781276.0,9830405.258239746,13.56,132959173.94,force_direct,,9854561.962886427,DOWN
1719435600,9829246.75,9838867.0,9815199.0,9824923.129119873,18.7,183763333.31,force_direct,,9854393.346340293,DOWN
1719439200,9814939.75,9837616.0,9779296.0,9827084.939559937,18.29,179333589.06,force_direct,,9853904.168764768,DOWN
1719442800,9795617.25,9821012.344779968,9778823.0,9821012.344779968,15.96,156222778.99,force_direct,,9853256.565095467,DOWN
1719446400,9796631.25,9818507.0,9766580.0,9808314.797389984,32.66,319917050.06,force_direct,,9852852.201263672,DOWN
1719450000,9815754.25,9831876.0,9796492.0,9802473.023694992,51.42,504875139.25,force_direct,,9852545.522644134,DOWN
1719453600,9809325.0,9822031.0,9780288.0,9809113.636847496,51.43,504091018.15,force_direct,,9852151.537344193,DOWN
1719457200,9814598.0,9842022.0,9798983.0,9809219.318423748,51.2,502454241.93,force_direct,,9851676.76582833,DOWN
1719460800,9811810.5,9824828.0,9801595.0,9811908.659211874,36.51,358363297.88,force_direct,,9851325.574128546,DOWN
1719464400,9795253.5,9824521.0,9770000.0,9811859.579605937,49.27,482527902.0,force_direct,,9850517.468913337,DOWN
1719468000,9761359.5,9803556.539802969,9739512.0,9803556.539802969,79.94,779913125.4,force_direct,,9849608.85728236,DOWN
1719471600,9766389.0,9784671.0,9750685.0,9782458.019901484,30.47,297564335.16,force_direct,,9848826.65969746,DOWN
1719475200,9773775.0,9783594.0,9760000.0,9774423.509950742,9.232,90217506.87,force_direct,,9848146.87203878,DOWN
1719478800,9810957.5,9850000.0,9771472.0,9774099.254975371,21.15,207552440.14,force_direct,,9848084.216595609,DOWN
1719482400,9833933.0,9862291.0,9792528.377487686,9792528.377487686,24.97,245707330.79,force_direct,,9847762.980609585,DOWN
1719486000,9827477.0,9849461.0,9812564.0,9813230.688743843,46.13,453261595.58,force_direct,,9847606.960902028,DOWN
1719489600,9848606.0,9898999.0,9818539.0,9820353.844371922,41.63,409997563.76,force_direct,,9847579.06079355,DOWN
1719493200,9898971.0,9955555.0,9834479.922185961,9834479.922185961,72.44,717413683.47,force_direct,,9848653.448248342,UP
1719496800,9951577.0,10021466.0,9866725.46109298,9866725.46109298,102.16,1019941484.8,force_direct,,9849361.513439901,UP
1719500400,9914763.75,9941854.0,9895108.0,9909151.23054649,29.24,290000471.75,force_direct,,9849888.05559473,UP
1719504000,9917378.25,9945682.0,9897941.0,9911957.490273245,18.69,185423111.02,force_direct,,9850621.617230603,UP
1719507600,9941798.25,9973835.0,9914667.870136622,9914667.870136622,25.89,257606029.87,force_direct,,9851610.198153682,UP
1719511200,9948592.0,9963589.0,9928233.060068311,9928233.060068311,12.37,123039207.37,force_direct,,9852555.211107377,UP
1719514800,9917064.25,9946584.0,9885000.0,9938412.530034155,15.42,152746941.3,force_direct,,9852928.681643624,UP
1719518400,9892494.25,9927738.390017077,9874025.0,9927738.390017077,15.41,152446554.06,force_direct,,9853365.699736722,UP
1719522000,9894955.0,9910116.320008539,9882643.0,9910116.320008539,19.45,192452178.15,force_direct,,9853800.45894332,UP
1719525600,9901754.0,9915537.0,9890291.0,9902535.66000427,19.77,195766226.72,force_direct,,9854301.240446372,UP
1719529200,9911395.5,9921624.0,9900689.0,9902144.830002135,16.28,161409148.2,force_direct,,9854946.402232977,UP
1719532800,9917330.0,9929417.0,9893000.0,9906770.165001068,20.19,200070795.85,force_direct,,9855670.945494339,UP
1719536400,9971752.5,10046476.0,9909650.0,9912050.082500534,76.17,761465387.25,force_direct,,9857138.110215789,UP
1719540000,9971946.75,10013047.0,9922222.0,9941901.291250266,76.72,764195998.55,force_direct,,9858056.109119114,UP
1719543600,9959401.75,9979999.0,9937178.0,9956924.020625133,48.91,487123541.6,force_direct,,9859180.257287083,UP
1719547200,9956951.5,9971033.0,9928043.0,9958162.885312567,46.2,459764195.5,force_direct,,9860160.523383731,UP
1719550800,9939108.25,9957824.0,9908421.0,9957557.192656282,51.31,509447147.51,force_direct,,9860880.229618719,UP
1719554400,9930659.75,9948332.721328141,9918512.0,9948332.721328141,40.19,398990639.22,force_direct,,9861560.237284206,UP
1719558000,9904240.25,9939496.23566407,9865607.0,9939496.23566407,64.21,635648988.96,force_direct,,9861803.160296304,UP
1719561600,9888571.0,9921868.242832035,9860354.0,9921868.242832035,38.44,379952762.93,force_direct,,9862221.477109276,UP
1719565200,9900954.25,9912519.0,9878880.0,9905219.621416017,41.94,415039179.95,force_direct,,9862682.696242519,UP
1719568800,9898468.75,9910223.0,9885787.0,9903086.935708009,29.88,295707406.14,force_direct,,9862947.455483887,UP
1719572400,9905641.75,9939134.0,9875300.0,9900777.842854004,39.49,391168769.37,force_direct,,9863503.620105939,UP
1719576000,9897078.25,9947772.0,9854525.0,9903209.796427002,67.28,665972137.5,force_direct,,9863540.141298914,UP
1719579600,9865701.25,9919568.0,9831114.0,9900144.023213502,53.27,525667404.7,force_direct,,9863355.154818328,DOWN
1719583200,9827909.5,9885000.0,9775000.0,9882922.636606751,92.11,904074457.1,force_direct,,9862791.312481826,DOWN
1719586800,9817489.5,9855416.068303376,9783938.0,9855416.068303376,38.0,372969374.24,force_direct,,9862496.14519345,DOWN
1719590400,9809090.0,9837648.0,9763276.0,9836452.784151688,68.62,672028524.97,force_direct,,9861897.26812685,DOWN
1719594000,9797038.5,9826363.0,9771685.0,9822771.392075844,27.77,272156292.88,force_direct,,9861159.952026086,DOWN
1719597600,9780656.0,9809904.946037922,9760014.0,9809904.946037922,31.02,303246644.38,force_direct,,9860346.071906423,DOWN
1719601200,9727831.25,9795280.473018961,9671749.0,9795280.473018961,71.95,699540340.19,force_direct,,9858560.001539195,DOWN
1719604800,9691379.25,9761555.86150948,9672021.0,9761555.86150948,43.0,417179718.91,force_direct,,9856944.936847264,DOWN
1719608400,9703297.5,9726467.55575474,9678519.0,9726467.55575474,21.29,206590889.58,force_direct,,9855540.688719431,DOWN
1719612000,9718712.0,9730693.0,9708233.0,9714882.52787737,27.7,269211642.48,force_direct,,9854193.059975954,DOWN
1719615600,9726365.75,9737510.0,9715329.0,9716797.263938684,17.32,168426708.82,force_direct,,9852982.382762263,DOWN
1719619200,9755855.25,9788158.0,9721581.506969342,9721581.506969342,29.45,287424453.16,force_direct,,9852216.747112887,DOWN
1719622800,9795649.5,9820077.0,9738718.37848467,9738718.37848467,33.2,325453393.43,force_direct,,9851813.565549575,DOWN
1719626400,9797906.5,9818298.0,9767183.939242335,9767183.939242335,16.4,160687827.65,force_direct,,9851152.584797839,DOWN
1719630000,9785457.75,9794221.0,9777401.0,9782545.219621167,10.43,102028892.43,force_direct,,9850492.598879453,DOWN
1719633600,9786220.75,9792248.0,9779561.0,9784001.484810583,7.246,70891981.8,force_direct,,9849873.269537369,DOWN
1719637200,9786119.5,9791265.0,9780107.0,9785111.117405292,8.259,80818105.14,force_direct,,9849226.331532022,DOWN
1719640800,9794469.25,9806316.0,9784856.0,9785615.308702646,7.735,75752147.83,force_direct,,9848754.915297871,DOWN
1719644400,9821474.5,9850200.0,9790042.279351324,9790042.279351324,29.64,291375783.86,force_direct,,9848594.378827246,DOWN
1719648000,9824491.5,9836740.0,9805758.389675662,9805758.389675662,9.976,97953974.38,force_direct,,9848301.618838916,DOWN
1719651600,9818693.75,9824913.0,9808690.0,9815124.944837831,6.776,66508623.45,force_direct,,9848039.911188778,DOWN
1719655200,9824455.5,9832412.0,9814384.0,9816909.347418915,6.542,64259757.87,force_direct,,9847850.718042621,DOWN
1719658800,9838147.25,9862640.0,9818180.0,9820682.423709458,18.88,185881312.61,force_direct,,9847799.894977521,DOWN
1719662400,9838962.25,9853282.0,9826815.0,9829414.83685473,13.27,130612875.78,force_direct,,9847652.721893167,DOWN
1719666000,9837016.75,9849990.0,9824498.0,9834188.543427365,7.554,74321576.2,force_direct,,9847582.247048458,DOWN
1719669600,9832386.5,9847999.0,9816179.0,9835602.646713682,11.75,115493132.88,force_direct,,9847355.538122604,DOWN
1719673200,9828322.5,9839741.0,9814194.0,9833994.57335684,7.155,70302128.3,force_direct,,9847228.189484568,DOWN
1719676800,9828415.25,9838797.0,9814194.0,9831158.53667842,5.336,52440410.23,force_direct,,9847018.088096661,DOWN
1719680400,9827208.75,9833731.0,9817357.0,9829786.89333921,3.643,35788721.49,force_direct,,9846865.012593212,DOWN
1719684000,9831232.5,9835677.0,9823317.0,9828497.821669605,2.768,27204603.67,force_direct,,9846740.007492783,DOWN
1719687600,9830908.0,9835895.0,9817540.0,9829865.160834802,2.113,20770311.61,force_direct,,9846632.096970467,DOWN
1719691200,9834955.25,9842952.0,9825521.0,9830386.580417402,4.221,41510283.9,force_direct,,9846520.862174742,DOWN
1719694800,9832885.75,9841229.0,9820584.0,9832670.915208701,5.004,49209218.82,force_direct,,9846399.032700367,DOWN
1719698400,9823754.0,9834277.0,9805240.0,9832778.33260435,7.977,78353116.55,force_direct,,9846148.514962055,DOWN
1719702000,9823905.0,9833659.0,9817055.0,9828266.166302174,5.787,56848733.15,force_direct,,9845924.987449994,DOWN
1719705600,9825644.25,9834999.0,9812894.0,9826085.583151087,14.89,146275607.47,force_direct,,9845776.480112184,DOWN
1719709200,9825455.0,9832709.0,9815630.0,9825864.916575544,7.856,77171327.78,force_direct,,9845544.684290173,DOWN
1719712800,9809508.25,9825659.958287772,9791004.0,9825659.958287772,10.73,105193342.4,force_direct,,9845106.936187783,DOWN
1719716400,9795451.75,9817584.104143886,9777609.0,9817584.104143886,41.32,404662722.77,force_direct,,9844640.558713278,DOWN
1719720000,9788418.5,9806517.927071944,9776374.0,9806517.927071944,39.2,383677330.52,force_direct,,9843990.662606679,DOWN
1719723600,9782192.0,9797468.213535972,9770048.0,9797468.213535972,14.64,143175753.97,force_direct,,9843432.596312085,DOWN
1719727200,9804732.0,9824035.0,9782953.0,9789830.106767986,19.11,187333821.97,force_direct,,9843239.585403508,DOWN
1719730800,9868714.25,9938788.0,9797281.053383993,9797281.053383993,67.96,672600956.05,force_direct,,9843714.813409444,UP
1719734400,9891297.75,9906667.0,9832997.651691996,9832997.651691996,32.12,317820195.93,force_direct,,9844262.745614326,UP
1719738000,9905880.75,9929499.0,9862147.700845998,9862147.700845998,29.39,291266941.31,force_direct,,9844846.738195278,UP
1719741600,9905923.5,9915425.0,9884014.225422999,9884014.225422999,14.89,147491254.23,force_direct,,9845465.178611245,UP
1719745200,9912010.75,9921159.0,9894968.8627115,9894968.8627115,18.45,182879249.72,force_direct,,9846154.500217104,UP
1719748800,9917005.5,9924291.0,9903489.80635575,9903489.80635575,7.584,75215623.53,force_direct,,9846867.679319423,UP
